region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
636,0,int32,642538546.5593426,3385279057.0,4956484.710102489
636,0,int64,0.0,0,0.0
636,0,float32,0.0,0,0.0
636,0,float64,36579159857.134186,192720988414.0,282168357.8535871
594,0,int32,0.0,0,0.0
594,0,int64,0.0,0,0.0
594,0,float32,0.0,0,0.0
594,0,float64,5694111.4963392755,30000000.0,43923.86530014641
5,0,int32,640640509.3938962,3375279057.0,4941843.421669107
5,0,int64,0.0,0,0.0
5,0,float32,0.0,0,0.0
5,0,float64,36571602785.33804,192681173220.0,282110063.2796486
537,0,int32,0.0,0,0.0
537,0,int64,0.0,0,0.0
537,0,float32,0.0,0,0.0
537,0,float64,0.0,0,0.0
212,0,int32,0.0,0,0.0
212,0,int64,0.0,0,0.0
212,0,float32,0.0,0,0.0
212,0,float64,128321413.28188787,676074292.0,989859.8711566618
606,0,int32,0.0,0,0.0
606,0,int64,0.0,0,0.0
606,0,float32,0.0,0,0.0
606,0,float64,128321413.28188787,676074292.0,989859.8711566618
6,0,int32,513285653.1275515,2704297168.0,3959439.484626647
6,0,int64,0.0,0,0.0
6,0,float32,0.0,0,0.0
6,0,float64,35160067239.237274,185244356008.0,271221604.69692534
242,0,int32,0.0,0,0.0
242,0,int64,0.0,0,0.0
242,0,float32,0.0,0,0.0
242,0,float64,0.0,0,0.0
385,0,int32,0.0,0,0.0
385,0,int64,0.0,0,0.0
385,0,float32,0.0,0,0.0
385,0,float64,0.0,0,0.0
393,0,int32,0.0,0,0.0
393,0,int64,0.0,0,0.0
393,0,float32,0.0,0,0.0
393,0,float64,128321413.28188787,676074292.0,989859.8711566618
257,0,int32,0.0,0,0.0
257,0,int64,0.0,0,0.0
257,0,float32,0.0,0,0.0
257,0,float64,0.0,0,0.0
295,0,int32,0.0,0,0.0
295,0,int64,0.0,0,0.0
295,0,float32,0.0,0,0.0
295,0,float64,128321413.28188787,676074292.0,989859.8711566618
632,0,int32,224562473.24330378,1183130011.0,1732254.774524158
632,0,int64,0.0,0,0.0
632,0,float32,0.0,0,0.0
632,0,float64,13441668041.277754,70818782087.0,103687821.50366032
630,0,int32,160401766.60235983,845092865.0,1237324.8389458272
630,0,int64,0.0,0,0.0
630,0,float32,0.0,0,0.0
630,0,float64,20820149304.986305,109693053877.0,160604764.09516838
